id,is_appartment,area,added_time,bedrooms,new_building,postcode,lat,lon,advertiser,foto_amount,is_promoted,subtype,sticker,price_drop_date,energy_value,energy_label,province,price
tr0,True,88.0,141725167,2.0,0,8300,51.34216,3.287791,Vastio,12.0,1,Appartement,,,210.0,c,West-Vlaanderen,599000.0
tr1,True,55.0,132223171,1.0,0,1800,50.93398,4.43639,Ring Consult,10.0,1,Appartement,,,92.0,a,Vlaams-Brabant,199000.0
tr2,False,333.0,119151262,4.0,0,3294,50.996456,5.045376,Hillewaere Heist-op-den-Berg,30.0,1,Villa,,2024-06-08 23:29:39,,f,Vlaams-Brabant,875000.0
tr3,False,517.0,137313038,5.0,0,1700,50.843364,4.2740039,Living Stone Dilbeek,31.0,1,Eengezinswoning,,,322.0,d,Vlaams-Brabant,649000.0
tr4,True,99.0,137303955,3.0,0,8300,51.34818,3.276942,Colpin Heist,13.0,1,Appartement,,,161.0,b,West-Vlaanderen,765000.0
tr5,True,106.0,123232105,3.0,1,9000,51.0642152,3.7310222,Dewaele - Gent,15.0,1,Appartement,,,,,Oost-Vlaanderen,442000.0
tr6,True,81.0,127450847,2.0,1,1780,50.903147,4.312355,Woonkantoor,9.0,1,Appartement,,,27.0,a,Vlaams-Brabant,345000.0
tr7,False,170.0,133990691,2.0,0,9900,51.19671,3.534591,Immo Yves,24.0,1,Woning,,,346.0,d,Oost-Vlaanderen,425000.0
tr8,False,150.0,141793481,0.0,0,7850,50.69278,4.03693,Impactimma sprl,8.0,1,Woning,,,,,Henegouwen,180000.0
tr9,False,616.0,137923365,6.0,0,3800,50.8401892,5.2191391,Dewaele - Hasselt verkoop,29.0,1,Woning,,,376.0,d,Limburg,449000.0
tr10,False,119.0,139966309,1.0,0,8980,50.84711,2.973162,Estatement ,20.0,1,Woning,,2025-01-20 16:15:47,551.0,f,West-Vlaanderen,245000.0
tr11,True,85.5,90101056,2.0,1,4624,50.6122349,5.6640071,CD CONSULT,13.0,1,Appartement,,,55.0,a,Luik,244000.0
tr12,False,100.0,133471080,3.0,0,2590,51.10382,4.65272,Vebo Vastgoed (Vebo Groep bv),26.0,1,Eengezinswoning,,,940.0,f,Antwerpen,299000.0
tr13,False,198.0,137289134,4.0,0,9850,51.05437,3.573269,Concept-Home,23.0,1,Woning,,,464.0,e,Oost-Vlaanderen,398000.0
tr14,True,36.0,134928334,0.0,0,4700,50.6186019,6.0419419,IMMO NYSSEN,5.0,1,Studio met slaaphoek,,,189.0,c,Luik,99000.0
tr15,True,216.0,141550405,3.0,0,2000,51.2116072,4.3931992,LISTED,11.0,1,Triplex,,,,,Antwerpen,539000.0
tr16,True,130.43,118489421,3.0,1,2000,51.22028,4.40607,Makelaarskantoor De Meester,5.0,1,Penthouse,,,,,Antwerpen,799000.0
tr17,False,,142557714,0.0,0,8790,50.89373,3.452177,Bordes,12.0,1,Woning,,,,,West-Vlaanderen,713840.0
tr18,False,240.0,141797062,3.0,0,3271,51.02249,4.98149,Rosini Vastgoed en Advies,24.0,1,Woning,,,426.0,e,Vlaams-Brabant,299000.0
tr19,False,590.0,141466738,2.0,0,3650,51.00401,5.71724,Jemar.be,27.0,1,Woning,,,112.0,b,Limburg,399000.0
tr20,True,122.86,136108231,3.0,1,3840,50.80998,5.34219,HET IMMOHUIS,21.0,1,Appartement,,,,,Limburg,288019.0
tr21,True,75.0,142672670,2.0,0,8300,51.3549031,3.2966006,ERA Servimo (Knokke),10.0,1,Appartement,new,,102.0,b,West-Vlaanderen,799000.0
tr22,True,73.0,137733113,1.0,0,9000,51.05795,3.704692,De Vastgoedlink ,19.0,1,Appartement,,,85.0,a,Oost-Vlaanderen,275000.0
tr23,True,83.0,135987388,2.0,0,2910,51.4663803,4.45698331,"DEJONGH, DE BOUNGNE & DE SMEDT",16.0,1,Appartement,,,510.0,f,Antwerpen,147000.0
tr24,False,,143010984,3.0,0,8660,51.08247,2.588341,Agence Driemo,28.0,1,Chalet,new,,155.0,b,West-Vlaanderen,285000.0
tr25,False,244.63,142144223,4.0,0,8760,50.94903,3.30126,NB-Projects,7.0,1,Woning,,,,,West-Vlaanderen,782597.0
tr26,False,150.0,131248180,2.0,0,9140,51.12748,4.200304,De Woninggalerij,16.0,1,Woning,,,,,Oost-Vlaanderen,316000.0
tr27,False,206.0,142574660,3.0,0,3650,51.088162,5.697259,Sensimmo,22.0,1,Woning,new,,321.0,d,Limburg,219000.0
tr28,False,180.0,138787824,5.0,0,9070,51.0543564,3.7663975,Cornelis en Partners,21.0,1,Woning,,,182.0,b,Oost-Vlaanderen,549000.0
