filename,part,publish_time,title,summary,NER,type,publisher,theme,sentiment,NER_FIXED,topic,goods
FL4985624_163_DIGI_0035_00151_VIEW_MAIN.jpg,-1,28/01/1917,Prohibition of Wood Cutting Without Permission,"The Etappen-Kommandantuur in Ghent strictly prohibits all municipalities from cutting any wood, whether in the forest or from bushes and hedges, without permission from the Kommandantuur's agriculture department. Permission must be requested for wood cutting in every instance. Violations will be severely punished.","{'people': 'Jos. Dooreman-Volekaert', 'location': 'Gent, Flanders', 'event': 'World War I', 'organization': 'Etappen-Kommandantuur, Sint-Antonius'}",policy,Etappen-Kommandantuur,Resource Control,negative,"{'people': ['JOS DOOREMAN-VOLCKAERT'], 'location': ['GHENT', 'FLANDERS'], 'event': ['World War I'], 'organization': 'Etappen-Kommandantuur, Sint-Antonius'}",other,[]
FL4985668_170_DIGI_0035_00158_VIEW_MAIN.jpg,-1,05/03/1917,Egg Delivery Mandate for Merelbeke,"The Etappenkommandantur in Ghent orders the municipality of Merelbeke to deliver eggs weekly to the Butter-Zentrale der Kommandantur. The number of eggs required is based on the number of hens owned by each resident, with specific quotas for each month from March to February. A detailed list of suppliers, hen counts, and egg deliveries must accompany each submission. Failure to meet the quota will result in punishment.","{'people': 'Jos. Dooreman-Volckaert', 'location': 'Ghent, Merelbeke, Nieuwpoortstraat', 'event': 'World War I', 'organization': 'Etappenkommandantur, Butter-Zentrale der Kommandantur, Gemeente Merelbeke, St-Antonius'}",policy,Etappenkommandantur Gent,"Food requisition, agriculture, German occupation",negative,"{'people': ['JOS DOOREMAN-VOLCKAERT'], 'location': ['GHENT', 'MERELBEKE', 'NIEUWPOORTSTRAAT'], 'event': ['World War I'], 'organization': 'Etappenkommandantur, Butter-Zentrale der Kommandantur, Gemeente Merelbeke, St-Antonius'}",pricing/rationing/control,['eggs']
FL4985594_157_DIGI_0035_00145_VIEW_MAIN.jpg,-1,10/01/1917,Ordinance 563: Milk Supply to Civilians,"This ordinance, effective January 16, 1917, regulates the milk supply for civilians. It prohibits free trade and sale of milk, restricts butter and cheese production, and mandates milk delivery to central depots. Milk is allocated to specific groups like children, the sick, and the elderly in rural areas, with a set amount per person in urban areas. The ordinance details the distribution process involving municipal authorities and the Provincial Supply Commission, specifying that excess milk be given to the City of Ghent. Violations are subject to fines and imprisonment.","{'people': 'VON WICK', 'location': 'Flanders, Gent', 'event': 'World War I', 'organization': 'Provinciale Bevoorradingscommissie, Der Etappen-Kommandant, Sint-Antonius, JOS. DOOREMAN-VOLCKAERT'}",policy,Der Etappen-Kommandant,Food rationing and control,Negative,"{'people': ['V. WICK'], 'location': ['FLANDERS', 'GHENT'], 'event': ['World War I'], 'organization': ['PROVINCIAL SUPPLY COMMISSION', 'STAGE COMMANDANT', 'ST ANTONIUS', 'JOS. DOOREMAN-VOLCKAERT']}",pricing/rationing/control,"['milk', 'butter', 'cheese']"
FL4985653_167_DIGI_0035_00155_VIEW_MAIN.jpg,-1,08/02/1917,Important Notice: Mandatory Milk Delivery to Lemberge Dairy,"The municipality of Meireleke, under order of the Etappen-Kommandantuur, is requiring all milk producers to deliver their milk to the Lemberge dairy starting Saturday, February 10, 1917. Farmers must bring their milk to the town hall before 7:00 AM daily. Milk cans must be sealed, and galvanized cans are not allowed. All cow owners are compelled to deliver their milk.","{'people': [], 'location': ['Meireleke', 'Lemberge'], 'event': [], 'organization': ['Etappen-Kommandantuur', 'Gemeente', 'Melkerij', 'Gemeentebestuur', 'Sint-Antonius']}",policy,Gemeentebestuur of Meireleke,"Food Supply, Mandatory Delivery",Neutral,"{'people': [], 'location': ['MEIRELEKE', 'LEMBERG'], 'event': [], 'organization': ['Etappen-Kommandantuur', 'Gemeente', 'Melkerij', 'Gemeentebestuur', 'Sint-Antonius']}",pricing/rationing/control,['milk']
FL4985320_104_DIGI_0035_00102b_VIEW_MAIN.jpg,-1,04/06/1918,Ordinance on Language in Secondary Education,"This ordinance mandates Dutch as the language of instruction in secondary education in Flanders, with exceptions for foreign languages and a transition period for certain institutions in Brussels. It also restricts access to higher education exams to those who have completed their secondary education in Dutch or passed a Dutch language exam. The ordinance aims to promote the use of Dutch in education and will be effective from September 1, 1918.","{'people': 'Freiherr VON FALKENHAUSEN', 'location': 'Flanders, Anderlecht Kuregem, Brussel, Elsene, Etterbeek, Sint-Gillis, Sint-Pieters-Jette, Sint-Joost-ten-Noode, Koekelberg, Laken, Sint-Jans-Molenbeek, Schaarbeek, Ukkel en Vorst,Belgien', 'event': None, 'organization': 'Minister van Wetenschappen en Kunsten'}",policy,Der Generalgouverneur in Belgien,"Education, Language Policy",neutral,"{'people': ['FREIHERR VON FALKENHAUSEN'], 'location': ['FLANDERS', 'ANDERLECHT KUREGEM', 'BRUSSEL', 'ELSENE', 'ETTERBEEK', 'SINT-GILLIS', 'SINT-PIETERS-JETTE', 'SINT-JOOST-TEN-NOODE', 'KOEKELBERG', 'LAKEN', 'SINT-JANS-MOLENBEEK', 'SCHAARBEEK', 'UKKEL EN VORST', 'BELGIUM'], 'event': [], 'organization': ['MINISTER OF SCIENCES AND ARTS']}",education,[]
FL4985320_104_DIGI_0035_00102b_VIEW_MAIN.jpg,-1,04/06/1918,Ordinance on Access to Public Office,"This ordinance mandates that access to public office requires passing an exam in Dutch or proving sufficient Dutch proficiency. It also requires candidates who completed lower studies after 1919 to provide a certificate of the third degree in Dutch, and after September 1926, a certificate of the fourth degree or a certificate of secondary studies in Dutch. The ordinance aims to promote the use of Dutch in public administration.","{'people': 'Freiherr VON FALKENHAUSEN', 'location': 'Belgien', 'event': None, 'organization': 'Staat, provincie of gemeente, Minister van Wetenschappen en Kunsten'}",policy,Der Generalgouverneur in Belgien,"Public Administration, Language Policy",neutral,"{'people': ['FREIHERR VON FALKENHAUSEN'], 'location': ['BELGIUM'], 'event': [], 'organization': ['STATE', 'PROVINCE OR MUNICIPALITY', 'MINISTER OF SCIENCES AND ARTS']}",education,[]
FL4985514_141_DIGI_0035_00134_VIEW_MAIN.jpg,-1,01/12/1916,Order for Early Potato Planting in Flanders,"The German military command in Flanders orders all landowners to plant 10% of their arable land designated for potatoes with early potatoes. Municipalities must provide a table with the areas to be cultivated by December 5th. Gardeners are urged to minimize the cultivation of ornamental plants and shrubs, and instead plant early potatoes.","{'people': 'Wettstein', 'location': 'Flanders', 'event': 'World War I', 'organization': 'Mob. Etappen-Kommandantuur, Landwirtschaftliche Betriebstelle, Sint-Antonius, Jos. Dooreman-Volckaert'}",policy,Mob. Etappen-Kommandantuur,"Agriculture, Food Supply, Wartime Economy",Neutral,"{'people': ['WETTSTEIN'], 'location': ['FLANDERS'], 'event': ['World War I'], 'organization': ['MOBILE STAGE COMMAND', 'AGRICULTURAL ESTABLISHMENT', 'ST ANTONIUS', 'JOS. DOOREMAN-VOLCKAERT']}",pricing/rationing/control,"['potatoes', 'early potatoes']"
FL4985295_99_DIGI_0035_00099_VIEW_MAIN.jpg,1,29/09/1917,"Regulation on Trade in Beets, Turnips, Swedes and Carrots (Sugar Beets)","This decree regulates the trade of sugar beets. Only factories authorized by the Sugar Distribution Office are permitted to purchase sugar beets, and all beets must be delivered to these factories. Farmers must conclude delivery contracts with the factories before December 1, 1917, and all sugar beets must be delivered before January 15, 1918. Transportation of sugar beets requires permission from the Sugar Distribution Office. Violations of this regulation will be punished with imprisonment or a fine.","{'people': 'SCHAIBLE, HANIEL, VON KÖHLER', 'location': 'Flanders, Brussel, Wallonien', 'event': 'World War I', 'organization': 'Suikerverdeelingskantoor (Zuckerverteilungsstelle)'}",policy,"Der Verwaltungschef für Flandern, Der Verwaltungschef für Wallonien",Food Supply and Control,negative,"{'people': ['SCHAIBLE', 'HANIEL', 'VON KÖHLER'], 'location': ['FLANDERS', 'BRUSSEL', 'WALLONIA'], 'event': ['World War I'], 'organization': ['SUGAR DISTRIBUTION OFFICE']}",pricing/rationing/control,"['sugar beets', 'beets', 'turnips', 'swedes', 'carrots']"
FL4985295_99_DIGI_0035_00099_VIEW_MAIN.jpg,2,01/10/1917,"Clarification on Confiscation of Copper, Brass, and Bronze Objects","This announcement clarifies the definition of 'ornamental objects' subject to confiscation under the regulation of July 31, 1917. Ornamental objects include statues, mantelpiece ornaments, clocks, vases, and flower pots made of copper, brass, or bronze. Decorations attached to furniture are excluded.","{'people': 'VON KÖHLER', 'location': 'Brussel', 'event': 'World War I', 'organization': 'Abteilung für Handel und Gewerbe bei dem Generalgouverneur in Belgien'}",policy,Der Chef der Abteilung für Handel und Gewerbe bei dem Generalgouverneur in Belgien,Confiscation of Metals,negative,"{'people': ['VON KÖHLER'], 'location': ['BRUSSEL'], 'event': ['World War I'], 'organization': ['DEPARTMENT OF TRADE AND INDUSTRY']}",military,"['copper', 'brass', 'bronze']"
FL4985489_136_DIGI_0035_00129_VIEW_MAIN.jpg,1,17/11/1916,Potato Delivery Order to Communes,"The German Etappe Command in Ghent orders all communes to deliver their entire surplus of potatoes to the agricultural department by December 31, 1916. The delivery must be of high quality, with potatoes of hen's egg size. Communes must also submit lists of potato farmers with surpluses and deficits, as well as residents who did not grow potatoes. Rations are set at 300 grams per person per day, with a 50-gram reserve for special needs. Failure to comply will result in the commune being responsible for any resulting shortages.","{'people': 'Jos. Dooreman-Volckaert', 'location': 'Gent', 'event': 'World War I', 'organization': 'Etappen-Kommandantur, Landwirtschaftl. Betriebsstelle'}",policy,Etappen-Kommandantur,Food Supply,negative,"{'people': ['JOS DOOREMAN-VOLCKAERT'], 'location': ['GHENT'], 'event': ['World War I'], 'organization': 'Etappen-Kommandantur, Landwirtschaftl. Betriebsstelle'}",pricing/rationing/control,['potatoes']
